          nc          md      U[m/s]        d[m]     m[kg/m]        L[m]        H[N]          Nt       Dt[s]       tf[s]     ymax[m]       filename
           1           2        1.86       0.025        1.57           1         500       46556      0.0004     18.6224 7.07969e-05    Data2.1.bin
           2           2        1.88       0.025        1.57           1         500      100000      0.0004          40  0.00103087    Data2.2.bin
           3           2         1.9       0.025        1.57           1         500      100000      0.0004          40  0.00190326    Data2.3.bin
           4           2        1.92       0.025        1.57           1         500      100000      0.0004          40  0.00179613    Data2.4.bin
           5           2        1.94       0.025        1.57           1         500      100000      0.0004          40 0.000428721    Data2.5.bin
           6           2        1.98       0.025        1.57           1         500       23652      0.0004      9.4608 8.81883e-05    Data2.6.bin
           7           2        2.23       0.025        1.57           1         500        4767      0.0004      1.9068 2.39567e-05    Data2.7.bin
           8           2         3.8       0.025        1.57           1        2000       77718      0.0002     15.5436 0.000539098    Data2.8.bin
           9           2        3.82       0.025        1.57           1        2000      100000      0.0002          20  0.00116977    Data2.9.bin
          10           2        3.83       0.025        1.57           1        2000      100000      0.0002          20  0.00121622   Data2.10.bin
          11           2        3.84       0.025        1.57           1        2000      100000      0.0002          20    0.001228   Data2.11.bin
          12           2        3.86       0.025        1.57           1        2000       67532      0.0002     13.5064 0.000202487   Data2.12.bin
