nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0004,-3.9278416360603837e-13
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0008,-1.2345896243641056e-12
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0012000000000000001,-3.786879816246723e-11
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0016,-1.0152812524570346e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.002,-1.5450004639432183e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0024000000000000002,-2.0655441480052973e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0028000000000000004,-2.609310402061441e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0032000000000000006,-3.177047463807344e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0036000000000000008,-3.748739545236109e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.004000000000000001,-4.3251985237952976e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.004400000000000001,-4.94029959202775e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.004800000000000001,-5.602692832189123e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0052000000000000015,-6.249596305412977e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.005600000000000002,-6.849820395336365e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.006000000000000002,-7.491455146540712e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.006400000000000002,-8.16966555039532e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.006800000000000002,-8.801003164252348e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.007200000000000002,-9.479409820723833e-10
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.007600000000000003,-1.0232766260979472e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.008000000000000002,-1.0922432164143046e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.008400000000000001,-1.164785275758505e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0088,-1.2412802416308409e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0092,-1.3192895967272233e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0096,-1.4001392250456976e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.009999999999999998,-1.4780336822955076e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.010399999999999998,-1.5612506339278862e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.010799999999999997,-1.6430828641487107e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.011199999999999996,-1.729503101142372e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.011599999999999996,-1.8158022773295385e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.011999999999999995,-1.901243960341809e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.012399999999999994,-1.9956055364000445e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.012799999999999994,-2.097528629717647e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.013199999999999993,-2.2019480694426764e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.013599999999999992,-2.3141609134823252e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.013999999999999992,-2.4365494228671926e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.014399999999999991,-2.57425516874846e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.01479999999999999,-2.722274819128107e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.01519999999999999,-2.8653351197504207e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.015599999999999989,-3.0247217166421514e-09
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.01599999999999999,-3.1991633963149267e-09
