sim,ref_pos,ref_neg
3.7586338163487336e-10,3.925815398047663e-13,-3.9258153980211393e-13
1.5032094442825765e-09,1.2323462282404077e-12,-1.232346358203189e-12
3.3813047020044135e-09,4.2297737783556016e-11,-4.230106186801506e-11
6.008923471536961e-09,1.1587262718543635e-10,-1.1589119959870892e-10
9.384344911264943e-09,1.8862094492404524e-10,-1.8865717849203927e-10
1.3505350358070789e-08,2.63267047797293e-10,-2.6331641183827797e-10
1.8369220966041078e-08,3.52771596099761e-10,-3.528359010063945e-10
2.3972735650845023e-08,4.4896870857404334e-10,-4.490489072507397e-10
3.0312169343431505e-08,5.290708913509575e-10,-5.291598377568701e-10
3.738329155651902e-08,6.0967446984243e-10,-6.097813367339331e-10
4.518136526717722e-08,6.969391280500651e-10,-6.970722836596945e-10
5.37011461186199e-08,7.91190496587644e-10,-7.913372970930671e-10
6.293688194414703e-08,9.048174304001327e-10,-9.04965451134498e-10
7.288231261598782e-08,1.045455260586457e-09,-1.0456106285430731e-09
8.353067022160886e-08,1.2060313700595702e-09,-1.2062059043981622e-09
9.487467956985942e-08,1.3530124023584683e-09,-1.3531926537431763e-09
1.0690655902913208e-07,1.485431549525457e-09,-1.485609705532737e-09
1.1961802169951954e-07,1.625850632905566e-09,-1.626040784470924e-09
1.330002769207489e-07,1.7818756143919466e-09,-1.7820796381509963e-09
1.4704403211747218e-07,1.931815595593782e-09,-1.9320296620045934e-09
1.6173949498328723e-07,2.046838613572003e-09,-2.0470592345830416e-09
1.7707637600465617e-07,2.020737203716872e-09,-2.020959021239405e-09
1.9304389132567852e-07,1.9457233866640234e-09,-1.9459617312215843e-09
2.096307659544654e-07,1.937603466819163e-09,-1.93785745306954e-09
2.2682523731164712e-07,1.9203489604394296e-09,-1.9206065367452527e-09
2.446150591213311e-07,1.940245579112515e-09,-1.9405075406565e-09
2.629875056446103e-07,1.981032982162396e-09,-1.9812998240843803e-09
2.8192937625550177e-07,1.965863482838009e-09,-1.9661391856296093e-09
3.0142700035897726e-07,1.866959339241161e-09,-1.8672417923544077e-09
3.214662426505226e-07,1.6980734531547862e-09,-1.698359578718062e-09
3.4203250871644163e-07,1.513165995112861e-09,-1.51345903068547e-09
3.6311075097389545e-07,1.301613504153936e-09,-1.3019105159927607e-09
3.8468547494944064e-07,1.0364854024358111e-09,-1.0367857861599604e-09
4.067407458946062e-07,7.734450408373892e-10,-7.737505210928624e-10
4.292601957368196e-07,6.233851111550072e-10,-6.236936893485976e-10
4.522270303637649e-07,4.799040611693214e-10,-4.802166318036145e-10
4.756240372390271e-07,2.8384882631058527e-10,-2.8416170198017113e-10
4.994335933466483e-07,2.0499723567892447e-10,-2.0530947218217647e-10
5.236376734619916e-07,2.1611144027286424e-10,-2.1642295297155295e-10
5.482178587460785e-07,8.088445559269373e-13,-1.1166071974245136e-12
5.731553456603367e-07,4.911288713143837e-10,-4.9142728662702e-10
5.984309551984664e-07,1.2544116555610347e-09,-1.2546967945749823e-09
6.240251424319014e-07,2.082709415408423e-09,-2.0829831827450475e-09
6.499180063651154e-07,3.0022352910318996e-09,-3.002496237320614e-09
6.760893000967942e-07,4.233188556923329e-09,-4.2334354842793915e-09
7.025184412826653e-07,5.484557356075936e-09,-5.4847954181449794e-09
7.291845228955535e-07,6.6879002309972895e-09,-6.688134245647476e-09
7.560663242780002e-07,8.103918579255074e-09,-8.104149258028671e-09
7.831423224825628e-07,9.669175333618685e-09,-9.669399920954631e-09
8.103907038946862e-07,1.1165005141406672e-08,-1.1165222891181268e-08
8.377893761328157e-07,1.2991168342049426e-08,-1.2991382336332294e-08
8.653159802201985e-07,1.5226552946767676e-08,-1.5226767935031504e-08
8.929479030226071e-07,1.7612481852847726e-08,-1.761269808406567e-08
9.20662289945993e-07,2.0114923287228575e-08,-2.0115140916959772e-08
9.484360578878715e-07,2.2874337799292256e-08,-2.287455561166409e-08
9.762459084360218e-07,2.5811719705928822e-08,-2.5811934516584604e-08
1.0040683413078737e-06,2.875551518184288e-08,-2.8755726350674613e-08
1.0318796680237506e-06,3.1719623848046804e-08,-3.1719830048886554e-08
1.0596560258069264e-06,3.4855672127530914e-08,-3.4855877395114455e-08
1.0873733917032547e-06,3.840837108040002e-08,-3.8408580950357337e-08
1.1150075969129278e-06,4.2578340062190544e-08,-4.257855586711535e-08
1.1425343413267273e-06,4.738897654627539e-08,-4.738919191606239e-08
1.1699292082589334e-06,5.312408288171658e-08,-5.3124296594438585e-08
1.1971676793688705e-06,5.975452945405797e-08,-5.975474579668348e-08
1.224225149762882e-06,6.684074287797228e-08,-6.684096420869875e-08
1.251076943268339e-06,7.475294990256892e-08,-7.475317960746509e-08
1.2776983278711211e-06,8.360901662818844e-08,-8.360925398854115e-08
1.3040645313078149e-06,9.333179746041639e-08,-9.33320398683559e-08
1.3301507568037225e-06,1.0422226642663181e-07,-1.0422251307257517e-07
1.355932198947599e-06,1.1663283065060257e-07,-1.1663308291335536e-07
1.381384059693872e-06,1.3026855069687862e-07,-1.3026881169491778e-07
1.40648156448295e-06,1.449884462561854e-07,-1.4498872504329112e-07
1.431199978470067e-06,1.6107910869056492e-07,-1.6107939651730577e-07
1.4555146228529636e-06,1.7861261606463562e-07,-1.7861290533665106e-07
1.479400891288572e-06,1.974309781611506e-07,-1.9743128911533469e-07
