list,n_ts,ref,sim
1,1,-3.927841636060384e-13,0.0
1,1,-1.2345896243641056e-12,2.7603855785225644e-12
1,1,-3.786879816246723e-11,1.1040120401901121e-11
1,1,-1.0152812524570346e-10,2.483493220628475e-11
1,1,-1.5450004639432183e-10,4.413768359711479e-11
1,1,-2.065544148005297e-10,6.893835622794341e-11
1,1,-2.609310402061441e-10,9.922403635243499e-11
1,1,-3.1770474638073437e-10,1.3497890176624425e-10
1,1,-3.7487395452361087e-10,1.7618421015486397e-10
1,1,-4.3251985237952976e-10,2.2281828886292227e-10
1,1,-4.94029959202775e-10,2.748565260997836e-10
1,1,-5.602692832189122e-10,3.3227136359567253e-10
1,1,-6.249596305412977e-10,3.9503229072189075e-10
1,1,-6.849820395336364e-10,4.6310584008803936e-10
1,1,-7.491455146540711e-10,5.364555846284903e-10
1,1,-8.16966555039532e-10,6.150421361896696e-10
1,1,-8.801003164252347e-10,6.988231456290257e-10
1,1,-9.479409820723831e-10,7.877533044358578e-10
1,1,-1.0232766260979472e-09,8.817843478834675e-10
1,1,-1.0922432164143044e-09,9.808650597213814e-10
1,1,-1.164785275758505e-09,1.0849412784156605e-09
1,1,-1.2412802416308407e-09,1.1939559049445805e-09
1,1,-1.319289596727223e-09,1.3078489121562215e-09
1,1,-1.4001392250456974e-09,1.426557355693747e-09
1,1,-1.4780336822955074e-09,1.5500153864934016e-09
1,1,-1.561250633927886e-09,1.6781542648594814e-09
1,1,-1.6430828641487107e-09,1.8109023761197558e-09
1,1,-1.729503101142372e-09,1.948185247864043e-09
1,1,-1.8158022773295383e-09,2.089925568767847e-09
1,1,-1.901243960341809e-09,2.236043209002176e-09
1,1,-1.995605536400044e-09,2.386455242229848e-09
1,1,-2.097528629717647e-09,2.541075969187806e-09
1,1,-2.201948069442676e-09,2.699816942854132e-09
1,1,-2.3141609134823244e-09,2.862586995197641e-09
1,1,-2.4365494228671926e-09,3.029292265507124e-09
1,1,-2.5742551687484604e-09,3.199836230296475e-09
1,1,-2.722274819128107e-09,3.374119734781109e-09
1,1,-2.8653351197504207e-09,3.552041025920249e-09
1,1,-3.0247217166421514e-09,3.733495787018831e-09
1,1,-3.1991633963149267e-09,3.918377173881926e-09
1,1,-3.375318822269507e-09,4.106575852513756e-09
1,1,-3.545314659717086e-09,4.2979800383525146e-09
1,1,-3.692819687567677e-09,4.492475537031396e-09
1,1,-3.848801798658299e-09,4.689945786655354e-09
1,1,-4.026449924682485e-09,4.890271901582293e-09
1,1,-4.180099684428313e-09,5.0933327176965455e-09
1,1,-4.322295164890206e-09,5.299004839161634e-09
1,1,-4.50338003572009e-09,5.507162686638484e-09
1,1,-4.696991154062613e-09,5.7176785469544e-09
1,1,-4.8670020219095085e-09,5.930422624207296e-09
1,1,-5.051987802009148e-09,6.145263092288785e-09
1,1,-5.260666455327327e-09,6.3620661488089705e-09
1,1,-5.447591447378711e-09,6.580696070404852e-09
1,1,-5.600368058730765e-09,6.8010152694135095e-09
1,1,-5.765417004807779e-09,7.022884351890358e-09
1,1,-5.985457536163898e-09,7.2461621769519345e-09
1,1,-6.215481026221911e-09,7.470705917421888e-09
1,1,-6.418226946019171e-09,7.69637112175799e-09
1,1,-6.629549395109923e-09,7.923011777237218e-09
1,1,-6.8667067711354345e-09,8.150480374375099e-09
1,1,-6.965549828334111e-09,8.37862797255476e-09
1,1,-6.938995488827051e-09,8.607304266840301e-09
1,1,-7.008726852658198e-09,8.836357655948331e-09
1,1,-7.126629768239723e-09,9.065635311350732e-09
1,1,-7.154497917375761e-09,9.294983247480936e-09
1,1,-7.054913766525129e-09,9.524246393015256e-09
1,1,-6.958951378368806e-09,9.753268663200034e-09
1,1,-6.890066024301446e-09,9.981893033194639e-09
1,1,-6.8128731774693674e-09,1.020996161239961e-08
1,1,-6.769815522292601e-09,1.0437315719738522e-08
1,1,-6.7418474597578595e-09,1.0663795959861421e-08
1,1,-6.729492173463018e-09,1.0889242300236992e-08
1,1,-6.684648420167036e-09,1.1113494149099911e-08
1,1,-6.6010016094988065e-09,1.133639043421918e-08
1,1,-6.546662739539615e-09,1.155776968245255e-08
1,1,-6.552036192706475e-09,1.1777470100051505e-08
1,1,-6.5490995009996865e-09,1.1995329653680622e-08
1,1,-6.54501667541013e-09,1.2211186152114517e-08
1,1,-6.5527085606391794e-09,1.2424877328574945e-08
1,1,-6.582522020067527e-09,1.2636240923670075e-08
1,1,-6.583282168932791e-09,1.2845114768897311e-08
1,1,-6.479019949880279e-09,1.305133687067054e-08
1,1,-6.34411709148985e-09,1.3254745494832069e-08
1,1,-6.2130312161575745e-09,1.3455179251609034e-08
1,1,-5.990345041014366e-09,1.3652477180973526e-08
1,1,-5.731382264105595e-09,1.3846478838365177e-08
1,1,-5.593601923067581e-09,1.4037024380734469e-08
1,1,-5.4818707936278035e-09,1.4223954652864614e-08
1,1,-5.286716838044859e-09,1.4407111273929314e-08
1,1,-5.0741936650505795e-09,1.4586336724243394e-08
1,1,-4.931728875514022e-09,1.4761474432162823e-08
1,1,-4.725144022776373e-09,1.4932368861090315e-08
1,1,-4.530498620931909e-09,1.509886559654225e-08
1,1,-4.452774837376091e-09,1.526081143323243e-08
1,1,-4.21204749710733e-09,1.5418054462127776e-08
1,1,-3.879523860064546e-09,1.5570444157430816e-08
1,1,-3.519119336880765e-09,1.571783146344351e-08
1,1,-3.0763521376583212e-09,1.5860068881266733e-08
1,1,-2.73232396723913e-09,1.59970105552895e-08
1,1,-2.4503608864323446e-09,1.6128512359421777e-08
1,1,-2.085320236321696e-09,1.6254431983024586e-08
1,1,-1.6830866872830303e-09,1.6374629016490914e-08
1,1,-1.2535539191238523e-09,1.6488965036430816e-08
1,1,-8.572715837667737e-10,1.659730369041397e-08
1,1,-5.942880479631097e-10,1.6699510781222904e-08
1,1,-3.804202499586047e-10,1.6795454350569945e-08
1,1,-1.0817970810198945e-10,1.6885004762231053e-08
1,1,2.4345939090235197e-10,1.6968034784549538e-08
1,1,5.774931441157436e-10,1.7044419672262755e-08
1,1,8.62839445995833e-10,1.711403724760489e-08
1,1,1.142665627509594e-09,1.7176767980639025e-08
1,1,1.4966866648273054e-09,1.723249506877168e-08
1,1,1.8827255294576387e-09,1.728110451540329e-08
1,1,2.210861613315504e-09,1.7322485207668044e-08
1,1,2.5177298628234408e-09,1.735652899321681e-08
1,1,2.8011563128271406e-09,1.738313075599699e-08
1,1,3.115121453675105e-09,1.7402188490983365e-08
1,1,3.4895381314428843e-09,1.7413603377814313e-08
1,1,3.791853335216587e-09,1.7417279853287898e-08
1,1,4.102283684917897e-09,1.741312568267279e-08
1,1,4.468739489260246e-09,1.740105202978918e-08
1,1,4.778163778890777e-09,1.7380973525815237e-08
1,1,5.072968861636179e-09,1.735280833677503e-08
1,1,5.335446107175524e-09,1.7316478229664256e-08
1,1,5.581546249782456e-09,1.727190863717046e-08
1,1,5.793800134873567e-09,1.7219028720944982e-08
1,1,5.991463584479937e-09,1.7157771433384252e-08
1,1,6.351967485743269e-09,1.708807357787863e-08
1,1,6.766712309110481e-09,1.700987586748743e-08
1,1,7.021258719397749e-09,1.692312298199939e-08
1,1,7.242893019974969e-09,1.6827763623338366e-08
1,1,7.421321515829919e-09,1.672375056927467e-08
1,1,7.424030534294177e-09,1.6611040725403048e-08
1,1,7.402073497911341e-09,1.6489595175349003e-08
1,1,7.346013137637801e-09,1.6359379229165733e-08
1,1,7.1618452069936915e-09,1.6220362469884773e-08
1,1,6.767079308794349e-09,1.6072518798184044e-08
1,1,6.305968573801641e-09,1.5915826475137794e-08
1,1,5.817849902319871e-09,1.5750268163013676e-08
1,1,5.1360535745876e-09,1.557583096408298e-08
1,1,4.4170642143467245e-09,1.5392506457410833e-08
1,1,3.6808649238793282e-09,1.520029073359402e-08
1,1,2.7541781129395478e-09,1.4999184427414926e-08
1,1,1.7171312354109583e-09,1.4789192748380963e-08
1,1,7.514866953703076e-10,1.457032550911971e-08
1,1,-1.8628756151648143e-10,1.4342597151600938e-08
1,1,-1.224494932730238e-09,1.4106026771157598e-08
1,1,-2.300746147560412e-09,1.3860638138278795e-08
1,1,-3.4330877380565557e-09,1.3606459718148747e-08
1,1,-4.610323285493473e-09,1.334352468790667e-08
1,1,-5.682842582998444e-09,1.3071870951603613e-08
1,1,-6.759916339217004e-09,1.2791541152833184e-08
1,1,-7.919716272418218e-09,1.2502582685014247e-08
1,1,-9.07182560426858e-09,1.2205047699304574e-08
