list,n_ts,ref,sim
1,6,-3.926708877611665e-13,0.0
1,6,-1.233349496016578e-12,2.9576440729233316e-10
1,6,-3.9283230159665086e-11,1.1829067426287245e-09
1,6,-1.097894438950388e-10,2.660973656642967e-09
1,6,-1.7439379889075858e-10,4.729207775166523e-09
1,6,-2.3937512485415234e-10,7.386546026471278e-09
1,6,-3.0760126906918666e-10,1.0631618112816369e-08
1,6,-3.7909714326993196e-10,1.4462745128046472e-08
1,6,-4.537774178622408e-10,1.887793832292637e-08
1,6,-5.315736501908467e-10,2.387489801983282e-08
1,6,-6.124336852617833e-10,2.9451012678359707e-08
1,6,-6.96383387096651e-10,3.560335811332627e-08
1,6,-7.833264436334435e-10,4.232869686661086e-08
1,6,-8.733865106765832e-10,4.962347773416405e-08
1,6,-9.665561854948863e-10,5.7483835449485476e-08
1,6,-1.058161487982145e-09,6.590559052477793e-08
1,6,-1.1442542016527895e-09,7.488424925092061e-08
1,6,-1.225598531972458e-09,8.44150038573305e-08
1,6,-1.3050327403375567e-09,9.449273283270727e-08
1,6,-1.3753140809352127e-09,1.051120014075821e-07
1,6,-1.425671192227793e-09,1.1626706219951545e-07
1,6,-1.478099037021592e-09,1.2795185602171198e-07
1,6,-1.5578519146999075e-09,1.4016001285574343e-07
1,6,-1.635184059869372e-09,1.5288485298899215e-07
1,6,-1.6892436845163095e-09,1.6611938831734855e-07
1,6,-1.510932779854335e-09,1.7985632381361612e-07
1,6,-1.056826032563815e-09,1.9408805916199705e-07
1,6,-4.663875240772051e-10,2.0880669055894975e-07
1,6,4.0697593091609487e-10,2.240040126806285e-07
1,6,1.3537054152480403e-09,2.3967152081703134e-07
1,6,1.983917028288327e-09,2.558004131729005e-07
1,6,2.596412362684111e-09,2.723815933353352e-07
1,6,3.780329022411889e-09,2.894056729079919e-07
1,6,5.385536757206931e-09,3.0686297431166304e-07
1,6,6.797768318337104e-09,3.247435337509393e-07
1,6,8.198232944158446e-09,3.4303710434657535e-07
1,6,9.941361861069104e-09,3.617331594330915e-07
1,6,1.17680806157877e-08,3.808208960210593e-07
1,6,1.3460811539486074e-08,4.002892384234304e-07
1,6,1.528915464191595e-08,4.201268420451813e-07
1,6,1.7276967794121998e-08,4.403220973354613e-07
1,6,1.9342627650038753e-08,4.6086313390133903e-07
1,6,2.1570267292883972e-08,4.817378247821598e-07
1,6,2.3940885410165817e-08,5.029337908834368e-07
1,6,2.6500822267797943e-08,5.244384055691081e-07
