list,n_ts,ref
1,1,-3.927841636060384e-13
1,1,-1.2345896243641056e-12
1,1,-3.786879816246723e-11
1,1,-1.0152812524570346e-10
1,1,-1.5450004639432183e-10
1,1,-2.065544148005297e-10
1,1,-2.609310402061441e-10
1,1,-3.1770474638073437e-10
1,1,-3.7487395452361087e-10
1,1,-4.3251985237952976e-10
1,1,-4.94029959202775e-10
1,1,-5.602692832189122e-10
1,1,-6.249596305412977e-10
1,1,-6.849820395336364e-10
1,1,-7.491455146540711e-10
1,1,-8.16966555039532e-10
1,1,-8.801003164252347e-10
1,1,-9.479409820723831e-10
1,1,-1.0232766260979472e-09
1,1,-1.0922432164143044e-09
1,1,-1.164785275758505e-09
1,1,-1.2412802416308407e-09
1,1,-1.319289596727223e-09
1,1,-1.4001392250456974e-09
1,1,-1.4780336822955074e-09
1,1,-1.561250633927886e-09
1,1,-1.6430828641487107e-09
1,1,-1.729503101142372e-09
1,1,-1.8158022773295383e-09
1,1,-1.901243960341809e-09
1,1,-1.995605536400044e-09
1,1,-2.097528629717647e-09
1,1,-2.201948069442676e-09
1,1,-2.3141609134823244e-09
1,1,-2.4365494228671926e-09
1,1,-2.5742551687484604e-09
1,1,-2.722274819128107e-09
1,1,-2.8653351197504207e-09
1,1,-3.0247217166421514e-09
1,1,-3.1991633963149267e-09
1,1,-3.375318822269507e-09
1,1,-3.545314659717086e-09
1,1,-3.692819687567677e-09
1,1,-3.848801798658299e-09
1,1,-4.026449924682485e-09
1,1,-4.180099684428313e-09
1,1,-4.322295164890206e-09
1,1,-4.50338003572009e-09
1,1,-4.696991154062613e-09
1,1,-4.8670020219095085e-09
1,1,-5.051987802009148e-09
1,1,-5.260666455327327e-09
1,1,-5.447591447378711e-09
1,1,-5.600368058730765e-09
1,1,-5.765417004807779e-09
1,1,-5.985457536163898e-09
1,1,-6.215481026221911e-09
1,1,-6.418226946019171e-09
1,1,-6.629549395109923e-09
1,1,-6.8667067711354345e-09
1,1,-6.965549828334111e-09
1,1,-6.938995488827051e-09
1,1,-7.008726852658198e-09
1,1,-7.126629768239723e-09
1,1,-7.154497917375761e-09
1,1,-7.054913766525129e-09
1,1,-6.958951378368806e-09
1,1,-6.890066024301446e-09
1,1,-6.8128731774693674e-09
1,1,-6.769815522292601e-09
1,1,-6.7418474597578595e-09
1,1,-6.729492173463018e-09
1,1,-6.684648420167036e-09
1,1,-6.6010016094988065e-09
1,1,-6.546662739539615e-09
1,1,-6.552036192706475e-09
1,1,-6.5490995009996865e-09
1,1,-6.54501667541013e-09
1,1,-6.5527085606391794e-09
1,1,-6.582522020067527e-09
