list,n_ts,n_serie,ref,sim
1,6,1,-3.926708877611665e-13,0.0
1,6,1,-1.233349496016578e-12,2.957899142704235e-10
1,6,1,-3.9283230159665086e-11,1.1830087444153958e-09
1,6,1,-1.097894438950388e-10,2.661203062546004e-09
1,6,1,-1.7439379889075858e-10,4.729615363246513e-09
1,6,1,-2.3937512485415234e-10,7.387182390472135e-09
1,6,1,-3.0760126906918666e-10,1.0632533608788503e-08
1,6,1,-3.7909714326993196e-10,1.446398982070077e-08
1,6,1,-4.537774178622408e-10,1.8879561931757636e-08
1,6,1,-5.315736501908467e-10,2.3876949865051793e-08
1,6,1,-6.124336852617833e-10,2.9453541626673252e-08
1,6,1,-6.96383387096651e-10,3.5606412523605725e-08
1,6,1,-7.833264436334435e-10,4.2332324535488984e-08
1,6,1,-8.733865106765832e-10,4.9627725841601317e-08
1,6,1,-9.665561854948863e-10,5.7488750504346895e-08
1,6,1,-1.058161487982145e-09,6.591121831046188e-08
1,6,1,-1.1442542016527895e-09,7.489063477108145e-08
1,6,1,-1.225598531972458e-09,8.442219128173707e-08
1,6,1,-1.3050327403375567e-09,9.450076544327945e-08
1,6,1,-1.3753140809352127e-09,1.051209215446482e-07
1,6,1,-1.425671192227793e-09,1.1627691120833298e-07
1,6,1,-1.478099037021592e-09,1.279626741992949e-07
1,6,1,-1.5578519146999075e-09,1.401718393980387e-07
1,6,1,-1.635184059869372e-09,1.52897725938449e-07
1,6,1,-1.6892436845163095e-09,1.661333445109238e-07
1,6,1,-1.510932779854335e-09,1.7987139883125844e-07
1,6,1,-1.056826032563815e-09,1.94104287275654e-07
1,6,1,-4.663875240772051e-10,2.088241046821409e-07
1,6,1,4.0697593091609487e-10,2.2402264431862775e-07
1,6,1,1.3537054152480403e-09,2.396914000177019e-07
1,6,1,1.983917028288327e-09,2.558215684782259e-07
1,6,1,2.596412362684111e-09,2.724040517336889e-07
1,6,1,3.780329022411889e-09,2.894294597871891e-07
1,6,1,5.385536757206931e-09,3.068881134128372e-07
1,6,1,6.797768318337104e-09,3.2477004712328604e-07
1,6,1,8.198232944158446e-09,3.4306501230300563e-07
1,6,1,9.941361861069104e-09,3.6176248050683696e-07
1,6,1,1.17680806157877e-08,3.80851646923271e-07
1,6,1,1.3460811539486074e-08,4.003214340018125e-07
1,6,1,1.528915464191595e-08,4.2016049524370114e-07
1,6,1,1.7276967794121998e-08,4.403572191551758e-07
1,6,1,1.9342627650038753e-08,4.6089973336237874e-07
1,6,1,2.1570267292883972e-08,4.817759088869101e-07
1,6,1,2.3940885410165817e-08,5.029733645809553e-07
1,6,1,2.6500822267797943e-08,5.244794717208174e-07
1,6,1,2.91515089634492e-08,5.46281358757604e-07
1,6,1,3.1962522573474e-08,5.683659162237234e-07
1,6,1,3.464702949873438e-08,5.907198017937616e-07
1,6,1,3.725595739857013e-08,6.133294454982241e-07
1,6,1,4.000289854401954e-08,6.361810550885345e-07
1,6,1,4.2792423617921146e-08,6.592606215515981e-07
1,6,1,4.5803504101909166e-08,6.825539247721515e-07
1,6,1,4.8992955083890106e-08,7.060465393410287e-07
1,6,1,5.234940385923717e-08,7.297238405073911e-07
1,6,1,5.5548986861130936e-08,7.5357101027288e-07
1,6,1,5.86267561290368e-08,7.775730436255658e-07
1,6,1,6.18685323903695e-08,8.017147549114811e-07
1,6,1,6.535246146666681e-08,8.259807843414397e-07
1,6,1,6.888201603954699e-08,8.503556046307612e-07
1,6,1,7.256477043210282e-08,8.74823527769433e-07
1,6,1,7.685675379823796e-08,8.993687119201612e-07
1,6,1,8.103794506930238e-08,9.239751684416785e-07
1,6,1,8.51220780134151e-08,9.486267690345941e-07
1,6,1,8.959934793031145e-08,9.733072530069887e-07
1,6,1,9.41949790170638e-08,9.980002346568813e-07
1,6,1,9.889080878431918e-08,1.0226892107686085e-06
1,6,1,1.0376646991646281e-07,1.0473575682200839e-06
