nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0004,-3.927484737184921e-13
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0008,-1.234201140303361e-12
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0012000000000000001,-3.817674178892804e-11
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0016,-1.025751852605306e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.002,-1.5769045050873602e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0024000000000000002,-2.1418553810968925e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0028000000000000004,-2.743123607257766e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0032000000000000006,-3.3732944245760504e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0036000000000000008,-4.0289385669657944e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.004000000000000001,-4.709086271697405e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.004400000000000001,-5.408814038852146e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.004800000000000001,-6.132899687743995e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0052000000000000015,-6.908008875659869e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.005600000000000002,-7.689675227838223e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.006000000000000002,-8.468231872916159e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.006400000000000002,-9.285832373887161e-10
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.006800000000000002,-1.010508871859305e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.007200000000000002,-1.0866933058367751e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.007600000000000003,-1.1681761373135587e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.008000000000000002,-1.2543816587881297e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.008400000000000001,-1.3421840649826257e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0088,-1.4323843144967111e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0092,-1.5246988512858564e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0096,-1.6287780767196378e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.009999999999999998,-1.7181686609485995e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.010399999999999998,-1.7722502202294356e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.010799999999999997,-1.868543741702717e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.011199999999999996,-2.0088246524056645e-09
